asin,title,brand,price,average_rating,rating_count,features,description,popularity_rank,category,price_tier,popularity_tier
B0BHWYQ47Y,"kurdene Bluetooth Wireless Earbuds, S8 Deep Bass Sound 38H Playtime IPX8 Waterproof Earphones Call Clear with Microphone in-Ear Bluetooth Headphones Comfortable for iPhone, Android",Kurdene,20.99,4.3,63672,"【Latest Bluetooth 5.2 & Effortless Pairing】Kurdene wireless earbuds with advanced bluetooth 5.2 technology owns fast and stable transmission without tangling, which makes the Bluetooth earbuds connect to electronic devices more consistently, providing you with an uninterrupted calling and music experience and Noise cancellation.These bluetooth earphones would instant paired once taken out from the charging case and auto connects with the last-paired device. | 【Immersive Stereo Sound with long Lasting Barttery Life】Adapting powerful 8mm Neodymium magnet, kurdene S8 bluetooth earbuds provides pure balanced audio and clarity output for all music genres with loud sound, rich bass, clear midrange, balanced treble and high definition. A single charge gives you a full 6 hours of listening, while the charging case extends that to 38 hours. Enjoy your earbuds the entire day, without missing a beat. | 【Customizable Fit for Comfortable Wearing】Every surface that touches your ear is made of liquid Silicone-not hard plastic(M size is installed, 6 pairs of different shapes of Ear Caps with size S/ M/ L for option for a customizable fit). The liquid silicone nozzle spreads pressure evenly across your ear for comfort, stability, and passive noise blocking. Giving you a fit for all-day comfort with less fatigue | 【IPX8 Waterproof & Sweatproof】With an IPX8 rating, this wireless earbuds are resistant to sweat, water and rain. S8 wireless earbuds can endure and work flawlessly under different weather conditions. There’s nothing holding you back from running through the storm or sweating out your new personal best in the gym.(Please note: The charging case is not waterproof) | 【Convenient Buttonless Touch Control】Features with capacitive touch interface, Kurdene S8 can largely minimize the pressure to your ears when you touch the button for various functions.Control your playlist without reaching in your pocket: Skip songs, launch music and answer calls simply by tapping your buds, so you can stay in the moment.",,11,headphones,budget,mainstream
B08PFW1S1V,"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",Soundcore,65.99,4.5,63247,"Incredible Sound Loved by 20 Million+ People | Hi-Res Audio Certified: Custom oversized 40 mm dynamic drivers produce Hi-Res Audio—a certification only awarded to audio devices capable of producing exceptional sound. Life Q20 active noise canceling headphones reproduce your music with extended high frequencies that reach up to 40 kHz for extraordinary clarity and detail. | Reduce Ambient Noises By Up to 90%: Our team of engineers conducted more than 100,000 tests in real-life scenarios to fine-tune Life Q20’s 4 built-in ANC microphones and digital active noise cancellation algorithm. As a result, the hybrid active noise cancellation can detect and cancel out a wider range of low and mid-frequency noises such as cars and airplane engines. | 100% Stronger Bass: Our exclusive BassUp technology conducts real-time analysis of the low frequencies to instantly strengthen the bass output. Double press the play button when listening to bass-heavy genres like EDM and hip-hop for an amplified listening experience. | 40-Hour Playtime*: Up to 40 hours of non-stop playtime in wireless active noise cancellation mode (at 60% volume) is extended to an enormous 60 hours in standard music mode. A single charge gives you enough juice to listen to over 600 songs or soundtrack multiple long haul flights. And when you’re in a rush, charge Life Q20 active noise canceling headphones for 5 minutes and get 4 hours of listening.",,12,headphones,premium,mainstream
B00D75AB6I,Sennheiser Cx 180 Street Ii in-Ear Headphone Black,Sennheiser,19.99,4.2,62456,"Innovative finger-contoured housing design enables for easy adjustment and optimal wearing comfort | Powerful, bass-driven stereo sound | Good attenuation of ambient noise | Optimised for mp3, iPod, iPhone, CD players and portable gaming systems | 2 year warranty","Product Description : Sennheiser has a stellar reputation of providing its discriminating audiophiles, with fantastically designed audio equipment, that are a delight for the senses. Sennheiser CX 180 Street II In-Ear Headphone is a sensational feat of headphone engineering, with its elegant design and comfortable fit. Features : This Sennheiser CX 180 has a comparatively elevated headphone sensitivity of 16 Ohms. This excellent noise accentuating ability coupled with its fantastic ability to ca",13,headphones,budget,mainstream
B09KQC7Z4S,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Black",Bose,344.78,4.7,62404,"Three levels of world-class noise cancellation for better listening experience in any environment | Alexa-enabled for voice access to music, information, and more | Noise-rejecting dual-microphone system for clear sound and voice pick-up | Balanced audio performance at any volume | Hassle-free Bluetooth pairing, personalized settings, access to future updates, and more through the Bose connect app. USB cable: 12 inch | Bose AR enabled — an innovative, audio-only version of augmented reality | For iPhone, iPad, and Android users, be sure your product’s firmware is up to date through the Bose connect app. Then you can access a showcase of Bose AR enhanced apps with Links to download them.","What happens when you clear away the noisy distractions of the world? Concentration goes to the next level. You get deeper into your music, your work, or whatever you want to focus on. That’s the power of Bose QuietComfort 35 wireless headphones II. Put them on and get closer to what you’re most passionate about. And that’s just the beginning. QuietComfort 35 wireless headphones II are now enabled with Bose AR — an innovative, audio-only take on augmented reality. Embedded in your headphones is ",14,headphones,premium,mainstream
B091K4WYD1,"OneOdio Over Ear Headphone, Wired Bass Headsets with 50mm Driver, Foldable Lightweight Headphones with Shareport and Mic for Recording Monitoring Podcast Guitar PC TV - (Red)",OneOdio,32.99,4.5,60653,"BASS SOUND: Enjoy powerful bass and comfort with the OneOdio Studio headphones. Large 50-millimeter speaker unit drivers combined with neodymium magnets deliver dynamic bass, great for DJing, mixing, monitoring, or listening to music. | BUILT TO STAY COMFORTABLE: The soft padded ear cushions are designed for monitor headphones' comfort and noise isolation. The headband is adjustable and stretchable for you to find the desired angle you like to fit in. | NO MORE ADAPTER: A long DJ-style 9.8-foot cord easily reaches from the TV or stereo to your chair. A standard-sized 6.35mm plug and a 3.5mm plug are included. They both are completely detachable, you can plug in the mixer you want to use. | SINGLE-SIDE MONITORING: 90° swiveling ear cups for single-ear monitoring anytime; self-adjustable and flexible headband delivers a fatigue-free listening experience that can last for hours, ideal for mastering and mixing. | WORKS WITH: All devices have a 3.5 or 6.35mm audio jack. Bass sound, durability, and comfort. These are the headphones you've been looking for.",,15,headphones,midrange,mainstream
B078S34QZD,Sony Mdr Xb-450 Extra Bass Foldable Headphones Black,Sony,29.99,4.0,54454,,"Features 30mm Neodymium Dynamic Dome Drivers 5 to 22,000 Hz Frequency Response Includes In-Line Micophone / Remote Control Customize Remote with SmartKey App Sealed Acoustic Design for Isolation Pressure-Relieving Cushioned Foam Fit Swivel-Fold Earcups Gold-Plated L-Shaped Stereo Mini Plug Adjustable Headband Rugged Low-Tangle Cable",16,headphones,midrange,niche
B0BS1615YC,"Logitech H390 Wired Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB, In-Line Controls, Works with Chromebook - Black",Logitech,21.88,4.4,51445,"Optimum Comfort: PC headphones with plush, padded headband and earcups | Enhanced Audio: Experience premium sound quality. System requirements: Windows Vista, Windows 7, Windows 8, Windows 10 or later, Chrome OS or  MAC OS X (10.2.8 or later), with USB-A port | Noise-Cancelling Qualities: A rotating microphone that minimizes background noise for clear calls, Frequency response (Headset): 20 Hz - 20 KHz | Advanced digital USB: Laser-tuned drivers provide enhanced digital audio. This plug-and-play headset can be used with any PC or Mac computer with a USB-A port or adapter without any software installation | In-Line Controls: Adjust the volume and mute your mic via the headset cable | USB Connectivity: Plug-and-play when you are ready with a simple USB connection | Upgrade to Logitech H540 headset for high-definition sound and on-ear controls | Works with Chromebook: This product is tested and certified as works with Chromebook, which means it meets Google’s compatibility standards and works seamlessly with your Chromebook | NOTE: If the headset is not working Please adjust the headset volume on the cable control. Make sure the headset is not on mute. The mute light flashes when mute has been activated. Check the USB cable connection to your computer. Try a different USB port on your computer. Connect directly to your computer. Do not use a USB hub.",Experience clear internet calls a with simple plug-and-play USB connection and a noise-canceling mic. Rigid left-sided mic boom is moveable and can be tucked out of the way when you're not using it. In-line controls let you control volume or mute without interrupting calls. Laser-tuned drivers deliver enhanced digital audio from your favorite music and games.,17,headphones,budget,niche
B08DBDSVBC,"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Midnight Blue WH1000XM4",Sony,348.0,4.7,49487,"Industry-leading noise canceling with Dual Noise Sensor technology | Next-level music with Edge-AI, co-developed with Sony Music Studios Tokyo | Up to 30-hour battery life with quick charging (10 min charge for 5 hours of playback) | the WH1000XM4 Touch Sensor controls to pause play skip tracks, control volume, activate your voice assistant, and answer phone calls. | Speak-to-chat technology automatically reduces volume during conversations | Superior call quality with precise voice pickup. Frequency Response (Active Operation)-4Hz-40,000Hz. Frequency Response(Bluetooth Communication)- 20Hz - 20,000Hz (44.1kHz Sampling) / 20Hz - 40,000Hz (LDAC 96kHz Sampling, 990kbps) | Wearing detection pauses playback when headphones are removed | Seamless multiple-device pairing | Adaptive Sound Control provides a personalized listening experience | Updated design relieves pressure for long-lasting comfort","Sony’s intelligent industry-leading noise canceling headphones with premium sound elevate your listening experience with the ability to personalize and control everything you hear. Get up to 30 hours of battery life with quick charging capabilities, enjoy an enhanced Smart Listening feature set, and carry conversations hands-free with speak-to-chat.",18,headphones,premium,niche
B07CYZGQ12,"PowerLocus Bluetooth Over-Ear Headphones, Wireless Stereo Foldable Headphones Wireless and Wired Headsets with Built-in Mic, Micro SD/TF, FM for iPhone/Samsung/iPad/PC (Purple)",PowerLocus,26.99,4.4,47958,"AMAZING SOUND QUALITY: High Definition Stereo Headphones, specially developed software and noise reduction technology that aims to deliver the music from your iPod on a whole new level! Deep Bass in combination with Dynamic Power Sound, results in Superior Audio Quality, even in the highest volume levels! | GREAT COMFORT FOR ALL AGES: The over-ear headphones are foldable and stretchable, so they can fit perfectly almost any size head. PowerLocus are always are ready to impress with elegance and convenience, bringing more joy during the everyday use! PowerLocus is #1 Choice for Travel, Sport and Every day use by Unisex Kids, Teens and Adults. | CONNECT QUICKLY via Bluetooth 5.0: We made the bluetooth over ear headphones super easy to use. Just slide the on/off button and the headphones will be in ready to pair mode. The Wireless Headphones are compatible with all Bluetooth or 3.5mm plug cable enabled devices! You can also receive calls and have hands-free communication through the special noise reduction technology microphone. Compatible with all iPhone X, 8 Plus, Samsung S9, S8, iPad, iPod, Huawei, Nexus, Amazon Fire Tablet | QUALITY MADE DESIGN: PowerLocus is built from materials which are extremely nice to touch and provides the model premium outlook. The super soft memory-protein foam leather earmuffs and headband will contribute to optimum comfort even if you wear them for long time. Use them everywhere, together with the Protective Premium Case – great way to carry them without having scratches on them for long term. | Wireless and Wired FLEXIBLE HEADPHONES: They are rechargable, but After 15 hours of playtime, you can switch to wired mode and enjoy your music NON-STOP. By choosing PowerLocus, You are covered with 24 Months PowerLocus warranty and 100% Customer satisfaction – 24/7 Customer Support.",,19,headphones,midrange,niche
B0C72D4J46,occiam Wireless Earbuds Bluetooth Headphones 48H Play Back Earphones in Ear Waterproof with Microphone LED Display for Sports Running Workout Pink,occiam,25.49,4.3,46903,"LED Power Display for Charging Case: the wireless Bluetooth headphones' charging case features an LED power display that shows the remaining power in percentage. The charging case displays its battery level from 1% to 100%. While charging the right or left wireless ear buds earbuds Bluetooth, the LED bars for the earbud on the case will flash. Once the earbuds wireless Bluetooth are fully charged, the LED bars will no longer flash.Convenient to know the charging status of your wireless earbuds. | 48 Hours Battery Life with Charging Case: The built-in 600mAh charging case provides a total of 48 hours of battery life. Each sport Bluetooth wireles earphone can last for 8 hours of music time on a single 1.5-hour charge.The charging case can recharge the twin Bluetooth wireless sports earbuds up to 6 times, resulting in a total playtime of 48 hours when using the portable charging case.You can enjoy uninterrupted music with wireless Bluetooth headphones during your workouts. | Stereo Music & Clear Call: With audio technology, Bluetooth wireless earbuds produce rich, immersive sound with deep bass and clear treble.The true wireless earbuds feature noise-canceling calls, effectively reducing partial background noise, guaranteeing a stable signal and minimal power usage during phone calls.Experience immersive stereo sound and enjoy hands-free calls while working out, wirelessly and effortlessly. | One-Step Auto Pairing: Simply pick up Bluetooth earbuds wireless from the charging case, and they will power on and automatically pair with each other.Then activate Bluetooth function on your mobile phone and search for ""T17"" to connect. After the initial successful connection,the earbuds wireless Bluetooth will automatically connect to the last paired device upon reboot.When using a single earbud wireless, just remove the second one to seamlessly transition between single mode and twin mode. | Engineered Design for Sports: The wireless Bluetooth earbuds are designed with adjustable and secure-fit silicone ear hooks and an ergonomic design, ensuring a comfortable and firm fit during running, and other outdoor sports activities.They come equipped with 3 pairs of different-sized spare ear caps for options. Even during strenuous exercise,the earbuds wireless Bluetooth will not fall off. And IPX5 waterproof rating protects headphones wirelsess Bluetooth from water drops or sweat damage.",,20,headphones,midrange,niche
B09D41HQVZ,KLIM Fusion Earbuds with Microphone - New 2023 - Long-Lasting Wired Ear Buds - Innovative: in-Ear with Memory Foam - Earphones with Mic and 3.5mm Jack - Green,KLIM,19.97,4.2,43473,"✅ COMFORTABLE. KLIM Fusion are fitted with memory foam which will retain the shape of your ear for a perfect fit. Some people may prefer more standardized in-ear extensions so we're providing 3 additional pairs of all sizes. | ✅ BUILT TO LAST + WARRANTY. There’s a problem with earphones: they often tend to simply stop working after a few months. We prefer to be honest: when it comes to electronics there’s always going to be some defects. We focused on building a product that lasts. 98.5% of earphones are still working after 6 months and 97% still operational after a year. We're confident enough in our product to offer a 5 year warranty, something you’ll find is quite rare for electronics. This is a zero risk purchase. | ✅ HIGH QUALITY AUDIO. You will surely get a higher quality audio output with $100 earphones. But KLIM Fusion offers the absolute best sound quality for its price range, if you want high quality audio at an affordable price, you won’t get better value for your money anywhere else. Enjoy your music without breaking the bank | ✅ MEMORY FOAM. It’s innovative, these in ear extensions have a two fold advantage 1) they’re extremely comfortable and fit your ears perfectly and 2) they completely block out outside noise. Once they’re in your ears, it’s just you and your music. | ✅ CAREFULLY CRAFTED DESIGN. KLIM Fusion have a confident gamer look. At KLIM we prefer a design which stands out while retaining some minimalist traits, if this is what you’re looking for, the KLIM Fusion earphones will be perfect for you. ✔BONUS : Receive the eBook: “7 tips to keep your computer alive longer and maximize its performance” for free by email after your purchase.",,21,headphones,budget,niche
B08BG7J2MN,Aftershokz Aeropex Mini (Rebranded as Shokz OpenRun Mini) Bone Conduction Wireless Bluetooth Headphones,Aftershokz,169.95,4.6,43149,"Rebranding Update - Aftershokz Aeropex has been renamed as Shokz OpenRun. Welcome to SHOKZ! | Open-Ear Design - Patented bone conduction technology delivers premium audio through the cheekbone, keeping you connected and aware of your surroundings. | Light & Comfortable - Experience unmatched comfort with our most lightweight and comfortable headphones. Aeropex Mini features a 0.5 inch smaller band for a more snug fit. | Eight-Hours of Music & Calls - Enjoy 8 continuous hours of music and dual noise-canceling mics for crystal clear calls. | IP67 Waterproof Rating - Completely sweat and waterproof. Moisture detection alert included for safe charging. (Not suitable for swimming) | Multifunction Button - Easy controls to play, pause, skip, activate voice assistant, and answer calls.",,22,headphones,premium,niche
B01G8JO5F2,"Senso Bluetooth Headphones, Best Wireless Sports Earbuds w/Mic IPX7 Waterproof HD Stereo Sweatproof Earphones for Gym Running Workout Noise Cancelling Earphones Earbuds Noise Cancelling Headsets",Senso,24.96,4.1,42824,"True HD high Fidelity sound featuring latest Bluetooth 4.1 CSR technology and state of the art acoustic components that produce incredible sound quality with deep bass and crystal clear treble. | Comfortable and secure fit with IPX-7 waterproof rating - activbuds feature ergonomically designed flexible ear hooks with gel Flex silicone earbuds to ensure your headphones stay comfortably firm in place to guarantee fatigue free ears and tangle free comfort. | Longest battery life - the new and improved Lithium polymer battery allows seamless enjoyment of music for up to 8 hours and 240 hours stand-by with a quick charge of only 1.5 hours. | Bluetooth V4.1 wireless technology with CVC 6.0 noise suppression technology - connect seamlessly with all Bluetooth enabled devices up to 30 feet away. With noise suppression technology focus on your favorite music and answer calls without skips or missed words. | 1 year warranty and bonus items - bonus accessories with 1-year Manufacturer's warranty and 30 days no-questions-asked return policy. Value for money guaranteed, buy the Senso activebuds worry free today.",,23,headphones,budget,niche
B09YVBSB87,Skullcandy Sesh True Wireless In-Ear Earbuds - Black,Skullcandy,46.53,4.1,41627,"Bluetooth wireless technology.Note : If the size of the earbud tips does not match the size of your ear canals or the headset is not worn properly in your ears, you may not obtain the correct sound qualities or call performance. Change the earbud tips to ones that fit more snugly in your ears | Product Note : If the size of the earbud tips does not match the size of your ear canals or the headset is not worn properly in your ears, you may not obtain the correct sound qualities or call performance. Change the earbud tips to ones that fit more snugly in your ears | 10 hours of total battery | IP55 sweat, water, and dust resistant.Bluetooth version 5.0.Note:If you face issue in Bluetooth connectivity please turn off the Bluetooth function for a couple of minutes, then turn it back on | Charging case | Microphone, call, track, volume control, and activate assistant",Skullcandy Sesh True Wireless In-Ear Earbud - Black.,24,headphones,midrange,niche
B0B62FJF1J,"Bose SoundSport, Wireless Earbuds, (Sweatproof Bluetooth Headphones for Running and Sports), Black",Bose,149.0,4.4,39355,"Note : If the size of the earbud tips does not match the size of your ear canals or the headset is not worn properly in your ears, you may not obtain the correct sound qualities or call performance. Change the earbud tips to ones that fit more snugly in your ears",,25,headphones,premium,niche
B074F3YW3R,"Bose SoundSport Free, True Wireless Earbuds, (Sweatproof Bluetooth Headphones for Workouts and Sports), Midnight Blue / Citron",Bose,222.93,4.3,39305,"Truly wireless sport headphones for total freedom of movement, packed full of technology that makes music sound clear and powerful. Charging time 2 hours | Earbuds are sweat and weather resistant (with an IPX4 rating) and come with 3 different pairs of StayHear and Sport tips (in sizes S/M/L) that provide a comfortable and secure fit | Up to 5 hours of play time with each charge and an additional 10 hours with the included charging case | Track lost earbuds with the Bose Connect App's “Find My Buds” feature | Firmware update to improve audio video synchronization for customers using iPhones, iPads and other Bluetooth devices that support AVDTP version 1.3 or later, available via Connect app | SoundSport Free headphones have an integrated dual microphone array located on the right earbud to allow you to use them during calls when connected to a smartphone that supports Bluetooth. Call audio will only be heard in the right ear bud | WHAT’S IN THE BOX : SoundSport Free wireless headphones, Portable charging case, 3 sizes of StayHear-plus Sport tips, USB cable","No wires mean no limits. And Bose soundsport free headphones are completely wireless, so you can enjoy total freedom of movement with nothing not even a single cord in your way. The acoustic package is designed to deliver sound so clear and powerful it will motivate you to go faster, lift heavier and train longer. Bluetooth technology transmits music from your phone to the headphones, so music plays reliably and consistently whether your phone is in your nearby gym bag, pocket or strapped to you",26,headphones,premium,long_tail
